,kepid,koi_period,koi_disposition,envolope_disposition,envolope_period
103,10619192.0,1.485710994,CONFIRMED,CONFIRMED,0.4973034631103675
104,9595827.0,3.905081685,CONFIRMED,CONFIRMED,1.3016920830403171
105,2987027.0,17.276296682,CONFIRMED,CONFIRMED,1.7276297862015095
106,9305831.0,3.246732048,CONFIRMED,CONFIRMED,1.6233665856282973
107,5794240.0,2.455240626,CONFIRMED,CONFIRMED,0.4246763149133922
108,9730163.0,4.871223664,CONFIRMED,CONFIRMED,0.8118975012223654
109,9837661.0,11.12827427,CONFIRMED,CONFIRMED,1.2364903277935075
110,8892303.0,5.424749327,CONFIRMED,CONFIRMED,0.2062498642418335
111,3323887.0,19.270825843,CONFIRMED,CONFIRMED,19.44675721036151
112,9115800.0,4.454194254,CONFIRMED,CONFIRMED,2.227097490326677
