,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
2130,9593757,K02774.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,2.49432176,6.021e-06,-6.021e-06,133.61066,0.00274,-0.00274,0.069,0.306,-0.069,2.3269,0.0504,-0.0504,8043.0,201.0,-201.0,8.91,0.0,0.0,1342.0,,,766.49,0.0,0.0,43.2,1.0,q1_q17_dr25_tce,5780.0,,,4.438,,,1.0,,,19h36m25.49s,+46d12m39.6s,17.69,
2138,3861611,K02932.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,3.84933401,2.684e-05,-2.684e-05,134.43526,0.00549,-0.00549,0.591,0.359,-0.369,2.299,0.157,-0.157,503.9,44.3,-44.3,2.12,0.62,-0.21,1147.0,,,408.84,373.84,-119.95,13.6,1.0,q1_q17_dr25_tce,5984.0,210.0,-210.0,4.521,0.05,-0.2,0.906,0.264,-0.088,19h37m26.54s,+38d56m53.5s,15.851,
2155,9837661,K02715.02,Kepler-1321 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.226496196,5.317e-06,-5.317e-06,133.37195,0.00258,-0.00258,0.048,0.396,-0.048,1.7073,0.0513,-0.0513,1839.1,59.7,-59.7,2.1,0.13,-0.23,697.0,,,55.76,12.61,-15.92,36.0,2.0,q1_q17_dr25_tce,3640.0,81.0,-90.0,4.744,0.056,-0.024,0.503,0.03,-0.056,19h38m06.86s,+46d38m27.5s,16.835,
2156,9837661,K02715.03,Kepler-1321 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.72084599,3.62e-05,-3.62e-05,134.66576,0.00616,-0.00616,0.166,0.305,-0.166,2.744,0.137,-0.137,1316.0,73.0,-73.0,1.78,0.11,-0.2,509.0,,,15.84,3.58,-4.52,20.5,3.0,q1_q17_dr25_tce,3640.0,81.0,-90.0,4.744,0.056,-0.024,0.503,0.03,-0.056,19h38m06.86s,+46d38m27.5s,16.835,
2179,5428668,K02794.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,0,0.703399912,7.88e-07,-7.88e-07,131.65929,0.00103,-0.00103,0.393,0.065,-0.393,0.823,0.0417,-0.0417,531.4,21.4,-21.4,2.15,0.67,-0.21,2013.0,,,3879.31,3626.55,-1084.58,32.0,1.0,q1_q17_dr25_tce,5955.0,179.0,-179.0,4.52,0.037,-0.213,0.91,0.283,-0.089,18h57m46.73s,+40d41m36.6s,15.728,
2243,5794570,K02675.01,Kepler-1312 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.448321078,7.617e-06,-7.617e-06,132.49088,0.00113,-0.00113,0.614,0.3,-0.408,2.2213,0.0405,-0.0405,529.4,10.5,-10.5,2.17,0.31,-0.11,978.0,,,215.95,85.64,-37.56,55.1,1.0,q1_q17_dr25_tce,5721.0,103.0,-126.0,4.517,0.028,-0.112,0.905,0.127,-0.045,19h31m53.10s,+41d02m08.8s,12.43,
2249,7659389,K02734.01,Kepler-1872 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.8259005,1.323e-05,-1.323e-05,132.20163,0.00325,-0.00325,0.951,0.029,-0.713,1.8057,0.0748,-0.0748,857.2,50.8,-50.8,3.45,0.58,-0.31,1005.0,,,241.25,135.25,-67.75,20.3,1.0,q1_q17_dr25_tce,5223.0,183.0,-183.0,4.505,0.054,-0.117,0.885,0.147,-0.079,18h44m11.80s,+43d19m21.4s,15.768,
2261,11231334,K00258.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,4.15743922,2.576e-05,-2.576e-05,172.50464,0.00482,-0.00482,1.242,2.979,-0.143,9.572,0.364,-0.364,1472.0,37.3,-37.3,96.99,14.5,-36.27,2089.0,,,4503.26,2036.22,-2921.28,52.5,1.0,q1_q17_dr25_tce,6529.0,156.0,-176.0,3.657,0.312,-0.078,3.131,0.468,-1.171,18h58m10.04s,+48d57m40.6s,9.887,
2276,5475641,K02895.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,1.069842837,3.324e-06,-3.324e-06,132.4449,0.00267,-0.00267,0.001,0.387,-0.001,5.275,0.101,-0.101,540.3,10.6,-10.6,1.77,0.14,-0.18,1433.0,,,998.07,313.61,-274.9,65.2,1.0,q1_q17_dr25_tce,4999.0,151.0,-136.0,4.523,0.078,-0.052,0.786,0.063,-0.079,19h54m14.22s,+40d36m17.5s,14.298,
2279,9612825,K02685.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,2.846517614,7.596e-06,-7.596e-06,133.24348,0.00252,-0.00252,0.931,0.008,-0.012,4.228,0.122,-0.122,2154.4,50.7,-50.7,1.88,0.45,-0.56,528.0,,,18.32,13.34,-10.38,58.0,1.0,q1_q17_dr25_tce,3468.0,102.0,-112.0,4.931,0.12,-0.08,0.32,0.077,-0.095,20h00m20.97s,+46d12m02.5s,16.3,
